epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,406.383,0.98962,0.76431,0.91299,0.9359,0.93017,0.96586,0.6641,1.1021,0.63176,0.95445,0.000128316,0.000128316,0.000128316
60,413.242,0.99684,0.77765,0.90442,0.92596,0.93534,0.96627,0.66937,1.08468,0.6248,0.94911,0.000118218,0.000118218,0.000118218
61,455.975,1.02411,0.78777,0.93292,0.93909,0.93039,0.96744,0.66915,1.08237,0.62463,0.94746,0.00010812,0.00010812,0.00010812
62,462.751,1.018,0.78029,0.93072,0.94158,0.92611,0.96703,0.6678,1.08853,0.6297,0.94958,9.8022e-05,9.8022e-05,9.8022e-05
63,469.496,1.0068,0.7698,0.93061,0.93652,0.93376,0.96517,0.66638,1.09753,0.6272,0.95316,8.7924e-05,8.7924e-05,8.7924e-05
64,476.027,1.02441,0.77361,0.93714,0.94037,0.94244,0.96567,0.66496,1.1081,0.62381,0.95727,7.7826e-05,7.7826e-05,7.7826e-05
65,482.695,1.0267,0.75598,0.95071,0.9522,0.93074,0.96569,0.66514,1.10786,0.62348,0.9567,6.7728e-05,6.7728e-05,6.7728e-05
66,489.429,1.01414,0.74952,0.93953,0.95038,0.93126,0.96466,0.66477,1.10401,0.62234,0.95519,5.763e-05,5.763e-05,5.763e-05
67,496.005,0.9885,0.74727,0.92497,0.95034,0.93615,0.96386,0.66068,1.11415,0.62108,0.95762,4.7532e-05,4.7532e-05,4.7532e-05
68,502.835,1.01108,0.74617,0.93826,0.9472,0.93636,0.96347,0.6569,1.11752,0.62136,0.95837,3.7434e-05,3.7434e-05,3.7434e-05
69,509.464,1.00545,0.74892,0.91952,0.95392,0.93673,0.96411,0.66079,1.11209,0.62038,0.95609,2.7336e-05,2.7336e-05,2.7336e-05
70,516.299,1.0071,0.73229,0.92315,0.95397,0.93531,0.96406,0.66012,1.10884,0.61949,0.95547,1.7238e-05,1.7238e-05,1.7238e-05
